                 r_i                  V_i 

       +5.291772e-01     +1.192795039e+05
       +7.937658e-01     +6.010258847e+04
       +1.058354e+00     +3.250074085e+04
       +1.322943e+00     +1.722435406e+04
       +1.587532e+00     +8.836953442e+03
       +1.852120e+00     +4.379520344e+03
       +2.116709e+00     +2.090412134e+03
       +2.381297e+00     +9.558889391e+02
       +2.645886e+00     +4.145327364e+02
       +2.910475e+00     +1.668087964e+02
       +3.175063e+00     +5.890878104e+01
       +3.439652e+00     +1.489416131e+01
       +3.704240e+00     -1.258995084e+00
       +3.968829e+00     -5.971937556e+00
       +4.233418e+00     -6.383076659e+00
       +4.498006e+00     -5.441435489e+00
       +4.762595e+00     -4.268331216e+00
       +5.027184e+00     -3.235431060e+00
       +5.291772e+00     -2.423257657e+00
       +5.556361e+00     -1.813811830e+00
       +5.820949e+00     -1.365095498e+00
       +6.085538e+00     -1.036057906e+00
       +6.350127e+00     -7.941742256e-01
       +6.614715e+00     -6.151297779e-01
       +6.879304e+00     -4.812411610e-01
       +7.143892e+00     -3.801931482e-01
       +7.408481e+00     -3.031440384e-01
       +7.673070e+00     -2.437783309e-01
       +7.937658e+00     -1.973594000e-01
       +8.202247e+00     -1.610452704e-01
       +8.466835e+00     -1.326255168e-01
       +8.731424e+00     -1.095739389e-01
       +8.996013e+00     -9.125898656e-02
       +9.260601e+00     -7.641755968e-02
       +9.525190e+00     -6.410233312e-02
       +9.789778e+00     -5.431330688e-02
       +1.005437e+01     -4.610315584e-02
       +1.031896e+01     -3.947188000e-02
       +1.058354e+01     -3.378792928e-02
