                   r             Lagrange              Neville       Neville greska               Spline     Neville - Spline 

       +2.810000e+00        +2.383198e+02        +2.383209e+02        -1.004441e-03        +2.382151e+02        +1.057518e-01
       +2.910143e+00        +1.670099e+02        +1.670099e+02        -2.818567e-06        +1.670099e+02        +3.460489e-06
       +3.010286e+00        +1.149860e+02        +1.149856e+02        +4.478423e-04        +1.148429e+02        +1.426370e-01
       +3.110429e+00        +7.734575e+01        +7.734551e+01        +2.312515e-04        +7.724341e+01        +1.020913e-01
       +3.210571e+00        +5.037263e+01        +5.037273e+01        -9.575736e-05        +5.037778e+01        -5.044106e-03
       +3.310714e+00        +3.126158e+01        +3.126175e+01        -1.673933e-04        +3.121362e+01        +4.812793e-02
       +3.410857e+00        +1.790377e+01        +1.790382e+01        -4.096335e-05        +1.789220e+01        +1.161656e-02
       +3.511000e+00        +8.722266e+00        +8.722199e+00        +6.800068e-05        +8.705835e+00        +1.636397e-02
       +3.611143e+00        +2.546159e+00        +2.546099e+00        +6.130788e-05        +2.517097e+00        +2.900185e-02
       +3.711286e+00        -1.487016e+00        -1.487011e+00        -4.410576e-06        -1.486141e+00        -8.707368e-04
       +3.811429e+00        -4.007902e+00        -4.007864e+00        -3.950203e-05        -4.017251e+00        +9.387173e-03
       +3.911571e+00        -5.474893e+00        -5.474874e+00        -2.068791e-05        -5.481710e+00        +6.836424e-03
       +4.011714e+00        -6.219379e+00        -6.219391e+00        +1.299064e-05        -6.220056e+00        +6.650726e-04
       +4.111857e+00        -6.479293e+00        -6.479313e+00        +2.176428e-05        -6.485282e+00        +5.969521e-03
       +4.212000e+00        -6.423765e+00        -6.423769e+00        +4.620451e-06        -6.424782e+00        +1.012753e-03
       +4.312143e+00        -6.171429e+00        -6.171418e+00        -1.256993e-05        -6.172418e+00        +9.999364e-04
       +4.412286e+00        -5.804253e+00        -5.804243e+00        -1.149633e-05        -5.806157e+00        +1.913428e-03
       +4.512429e+00        -5.377988e+00        -5.377990e+00        +2.022577e-06        -5.377898e+00        -9.196281e-05
       +4.612571e+00        -4.929908e+00        -4.929917e+00        +1.036065e-05        -4.930687e+00        +7.700605e-04
       +4.712714e+00        -4.484333e+00        -4.484338e+00        +5.363147e-06        -4.484788e+00        +4.507617e-04
       +4.812857e+00        -4.056477e+00        -4.056473e+00        -4.973602e-06        -4.056498e+00        +2.454134e-05
       +4.913000e+00        -3.655156e+00        -3.655150e+00        -8.090098e-06        -3.655482e+00        +3.323100e-04
       +5.013143e+00        -3.284776e+00        -3.284775e+00        -1.305933e-06        -3.284816e+00        +4.075327e-05
       +5.113286e+00        -2.946828e+00        -2.946832e+00        +6.482257e-06        -2.946828e+00        -4.765445e-06
       +5.213429e+00        -2.640993e+00        -2.640998e+00        +5.970668e-06        -2.641036e+00        +3.830068e-05
       +5.313571e+00        -2.365899e+00        -2.365897e+00        -1.897793e-06        -2.365895e+00        -2.355895e-06
       +5.413714e+00        -2.119571e+00        -2.119566e+00        -7.440885e-06        -2.119588e+00        +2.170632e-05
       +5.513857e+00        -1.899716e+00        -1.899714e+00        -3.722878e-06        -1.899731e+00        +1.670147e-05
       +5.614000e+00        -1.703898e+00        -1.703901e+00        +5.077053e-06        -1.703872e+00        -2.960006e-05
       +5.714143e+00        -1.529685e+00        -1.529691e+00        +8.121025e-06        -1.529648e+00        -4.269510e-05
       +5.814286e+00        -1.374772e+00        -1.374772e+00        +7.235466e-07        -1.374771e+00        -1.622440e-06
       +5.914429e+00        -1.237037e+00        -1.237032e+00        -8.961937e-06        -1.237025e+00        -6.615450e-06
