                   x       broj iteracija               red a)         rekurzija b)             1\red c)        e^(-x) python

                  +0                   +1        +1.000000e+00        +1.000000e+00        +1.000000e+00        +1.000000e+00
                 +10                  +44        +4.539994e-05        +4.539994e-05        +4.539993e-05        +4.539993e-05
                 +20                  +72        +5.644333e-10        +6.164185e-09        +2.061154e-09        +2.061154e-09
                 +30                 +100        -8.553015e-05        +6.103055e-06        +9.357623e-14        +9.357623e-14
                 +40                 +127        +1.470264e-01        +3.116952e-01        +4.248354e-18        +4.248354e-18
                 +50                 +155        -7.015776e+03        +2.041833e+03        +1.928750e-22        +1.928750e-22
                 +60                 +182        -1.223051e+09        +7.227457e+08        +8.756511e-27        +8.756511e-27
                 +70                 +209        +1.514176e+13        +4.594081e+12        +3.975450e-31        +3.975450e-31
                 +80                 +237        +6.772466e+17        +2.450820e+17        +1.804851e-35        +1.804851e-35
                 +90                 +264        -7.884988e+21        -5.865799e+21        +8.194013e-40        +8.194013e-40
                +100                 +291        -2.875658e+26        +8.144653e+25        +3.720076e-44        +3.720076e-44
