                   x              10^(-6)              10^(-5)              10^(-4)              10^(-3)              10^(-2)              10^(-1)        error 10^(-6)        error 10^(-5)        error 10^(-4)        error 10^(-3)        error 10^(-2)        error 10^(-1)

                  +0                   +0        +9.999990e-01        +1.000000e+00        +1.000000e+00        +1.000008e+00        +1.000834e+00        +2.212172e-05        +1.027483e-06        +5.024759e-09        +8.340650e-08        +8.340650e-08        +8.336112e-04
                  +1                   +2        +2.718288e+00        +2.718282e+00        +2.718282e+00        +2.718304e+00        +2.720548e+00        +4.331768e-06        +2.203083e-06        +1.390811e-08        +8.334091e-08        +8.334091e-08        +8.336112e-04
                  +2                   +7        +7.389049e+00        +7.389056e+00        +7.389057e+00        +7.389118e+00        +7.395216e+00        +1.998268e-04        +9.103418e-07        +1.521264e-08        +8.336710e-08        +8.336710e-08        +8.336112e-04
                  +3                  +20        +2.008555e+01        +2.008554e+01        +2.008554e+01        +2.008570e+01        +2.010228e+01        +1.018891e-04        +7.008528e-07        +6.663972e-09        +8.336754e-08        +8.336754e-08        +8.336112e-04
                  +4                  +54        +5.459796e+01        +5.459815e+01        +5.459815e+01        +5.459861e+01        +5.464366e+01        +1.292939e-04        +3.449309e-06        +3.962934e-08        +8.387394e-08        +8.387394e-08        +8.336112e-04
                  +5                 +148        +1.484133e+02        +1.484132e+02        +1.484132e+02        +1.484144e+02        +1.485369e+02        +2.252445e-04        +1.184884e-06        +1.670986e-08        +8.335324e-08        +8.335324e-08        +8.336112e-04
                  +6                 +403        +4.034285e+02        +4.034288e+02        +4.034288e+02        +4.034322e+02        +4.037651e+02        +1.135109e-04        +6.186668e-07        +1.296501e-09        +8.344164e-08        +8.344164e-08        +8.336112e-04
                  +7                +1096        +1.096635e+03        +1.096633e+03        +1.096633e+03        +1.096642e+03        +1.097547e+03        +1.982905e-04        +1.319418e-06        +1.318934e-08        +8.347691e-08        +8.347691e-08        +8.336112e-04
                  +8                +2978        +2.980960e+03        +2.980958e+03        +2.980958e+03        +2.980983e+03        +2.983443e+03        +9.451948e-04        +6.197636e-07        +5.694450e-09        +8.247988e-08        +8.247988e-08        +8.336112e-04
                  +9                +8102        +8.103079e+03        +8.103084e+03        +8.103085e+03        +8.103151e+03        +8.109839e+03        +4.882456e-05        +5.611146e-07        +8.822625e-11        +8.337072e-08        +8.337072e-08        +8.336112e-04
                 +10               +22020        +2.202643e+04        +2.202647e+04        +2.202647e+04        +2.202665e+04        +2.204483e+04        +2.624150e-04        +1.455929e-06        +1.900213e-08        +8.323438e-08        +8.323438e-08        +8.336112e-04
